sex herdyear abattoir classifier herd age ageQuadrat yearsaison breedcomb prodsystem calfcull controlcull ageVK slaughterCategory branding cccn ccco ccan ccas ccao ccvn ccvo cwcn cwco cwan cwas cwao cwvn cwvo cfcn cfco cfan cfas cfao cfvn cfvo cacn caco caan caas caao cavn cavo Effekt_HeterosisSumHet Effekt_RekombinationSumRec
1 4 5 10 6 506 256036 2 8 4 0 0 0 MT 3 0 0 0 6 0 0 0 0 0 0 3.11 0 0 0 0 0 0 3 0 0 0 0 0 0 5.06 0 0 0 3 2
1 5 3 10 7 354 125316 4 13 1 0 0 0 OB conventional 0 0 0 0 4 0 0 0 0 0 0 2.46 0 0 0 0 0 0 3 0 0 0 0 0 0 3.54 0 0 6 3
1 4 3 17 7 375 140625 1 13 1 0 0 0 OB conventional 0 0 0 0 5 0 0 0 0 0 0 2.66 0 0 0 0 0 0 4 0 0 0 0 0 0 3.75 0 0 6 2
1 2 4 13 8 361 130321 3 14 1 0 0 0 MT conventional 0 0 0 0 7 0 0 0 0 0 0 2.91 0 0 0 0 0 0 2 0 0 0 0 0 0 3.61 0 0 6 3
1 6 3 8 9 432 186624 2 15 1 0 0 0 MT conventional 0 0 0 0 5 0 0 0 0 0 0 3.29 0 0 0 0 0 0 3 0 0 0 0 0 0 4.32 0 0 6 2
3 7 3 6 10 323 104329 2 5 2 0 0 0 RG 2 0 0 5 0 0 0 0 0 0 2.10 0 0 0 0 0 0 4 0 0 0 0 0 0 3.23 0 0 0 0 6 2
2 7 3 17 10 311 96721 2 5 2 0 0 0 OB 2 0 0 5 0 0 0 0 0 0 2.06 0 0 0 0 0 0 2 0 0 0 0 0 0 3.11 0 0 0 0 6 2
2 7 3 17 10 309 95481 2 5 2 0 0 0 OB 2 0 0 6 0 0 0 0 0 0 2.04 0 0 0 0 0 0 3 0 0 0 0 0 0 3.09 0 0 0 0 6 2
3 7 3 17 10 309 95481 2 5 2 0 0 0 RG 2 0 0 5 0 0 0 0 0 0 1.56 0 0 0 0 0 0 2 0 0 0 0 0 0 3.09 0 0 0 0 6 2
2 7 3 8 10 308 94864 3 5 2 0 0 0 OB 2 0 0 6 0 0 0 0 0 0 2.44 0 0 0 0 0 0 3 0 0 0 0 0 0 3.08 0 0 0 0 6 2
2 7 3 17 10 314 98596 4 5 2 0 0 0 OB 2 0 0 7 0 0 0 0 0 0 2.32 0 0 0 0 0 0 3 0 0 0 0 0 0 3.14 0 0 0 0 6 2
2 7 3 18 10 115 13225 2 6 3 0 0 0 KV 1 6 0 0 0 0 0 0 1.39 0 0 0 0 0 0 3 0 0 0 0 0 0 1.15 0 0 0 0 0 0 6 2
3 7 3 17 10 310 96100 4 2 2 0 0 0 RG 2 0 0 6 0 0 0 0 0 0 2.08 0 0 0 0 0 0 3 0 0 0 0 0 0 3.10 0 0 0 0 4 4
1 5 3 8 10 314 98596 2 12 2 0 0 0 OB 2 0 0 6 0 0 0 0 0 0 2.44 0 0 0 0 0 0 3 0 0 0 0 0 0 3.14 0 0 0 0 2 2
1 5 3 8 10 328 107584 2 5 2 0 0 0 OB 2 0 0 6 0 0 0 0 0 0 2.35 0 0 0 0 0 0 3 0 0 0 0 0 0 3.28 0 0 0 0 6 2
3 5 3 8 10 328 107584 2 5 2 0 0 0 OB 2 0 0 6 0 0 0 0 0 0 1.97 0 0 0 0 0 0 3 0 0 0 0 0 0 3.28 0 0 0 0 6 2
3 7 3 7 10 307 94249 1 5 2 0 0 0 RG 2 0 0 6 0 0 0 0 0 0 2.14 0 0 0 0 0 0 3 0 0 0 0 0 0 3.07 0 0 0 0 6 2
3 5 3 5 10 321 103041 1 2 2 0 0 0 RG 2 0 0 6 0 0 0 0 0 0 2.17 0 0 0 0 0 0 3 0 0 0 0 0 0 3.21 0 0 0 0 4 4
3 5 3 5 10 319 101761 1 2 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.20 0 0 0 0 0 0 3 0 0 0 0 0 0 3.19 0 0 0 0 4 5
3 5 3 5 10 318 101124 1 5 2 0 0 0 RG 2 0 0 6 0 0 0 0 0 0 2.19 0 0 0 0 0 0 3 0 0 0 0 0 0 3.18 0 0 0 0 6 2
2 5 3 5 10 309 95481 1 5 2 0 0 0 OB 2 0 0 6 0 0 0 0 0 0 1.99 0 0 0 0 0 0 3 0 0 0 0 0 0 3.09 0 0 0 0 6 2
3 5 3 10 10 313 97969 1 2 2 0 0 0 RG 2 0 0 5 0 0 0 0 0 0 2.25 0 0 0 0 0 0 3 0 0 0 0 0 0 3.13 0 0 0 0 4 4
2 5 3 9 10 332 110224 3 5 2 0 0 0 OB 2 0 0 7 0 0 0 0 0 0 2.79 0 0 0 0 0 0 3 0 0 0 0 0 0 3.32 0 0 0 0 6 2
